Layer,Parameter,Weight
Layer 2106,Parameter 1,[0.4031271]
Layer 2106,Parameter 2,[[-0.68602014]]
Layer 2106,Parameter 3,[-0.6740458]
Layer 2107,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2107,Parameter 1,[0.4031271]
Layer 2107,Parameter 2,[[-0.68602014]]
Layer 2107,Parameter 3,[-0.6740458]
Layer 2108,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2108,Parameter 1,[0.4031271]
Layer 2108,Parameter 2,[[-0.68602014]]
Layer 2108,Parameter 3,[-0.6740458]
Layer 2109,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2109,Parameter 1,[0.4031271]
Layer 2109,Parameter 2,[[-0.68602014]]
Layer 2109,Parameter 3,[-0.6740458]
Layer 2110,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2110,Parameter 1,[0.4031271]
Layer 2110,Parameter 2,[[-0.68602014]]
Layer 2110,Parameter 3,[-0.6740458]
Layer 2111,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2111,Parameter 1,[0.4031271]
Layer 2111,Parameter 2,[[-0.68602014]]
Layer 2111,Parameter 3,[-0.6740458]
Layer 2112,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2112,Parameter 1,[0.4031271]
Layer 2112,Parameter 2,[[-0.68602014]]
Layer 2112,Parameter 3,[-0.6740458]
Layer 2113,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2113,Parameter 1,[0.4031271]
Layer 2113,Parameter 2,[[-0.68602014]]
Layer 2113,Parameter 3,[-0.6740458]
Layer 2114,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2114,Parameter 1,[0.4031271]
Layer 2114,Parameter 2,[[-0.68602014]]
Layer 2114,Parameter 3,[-0.6740458]
Layer 2115,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2115,Parameter 1,[0.4031271]
Layer 2115,Parameter 2,[[-0.68602014]]
Layer 2115,Parameter 3,[-0.6740458]
Layer 2116,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2116,Parameter 1,[0.4031271]
Layer 2116,Parameter 2,[[-0.68602014]]
Layer 2116,Parameter 3,[-0.6740458]
Layer 2117,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2117,Parameter 1,[0.4031271]
Layer 2117,Parameter 2,[[-0.68602014]]
Layer 2117,Parameter 3,[-0.6740458]
Layer 2118,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2118,Parameter 1,[0.4031271]
Layer 2118,Parameter 2,[[-0.68602014]]
Layer 2118,Parameter 3,[-0.6740458]
Layer 2119,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2119,Parameter 1,[0.4031271]
Layer 2119,Parameter 2,[[-0.68602014]]
Layer 2119,Parameter 3,[-0.6740458]
Layer 2120,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2120,Parameter 1,[0.4031271]
Layer 2120,Parameter 2,[[-0.68602014]]
Layer 2120,Parameter 3,[-0.6740458]
Layer 2121,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2121,Parameter 1,[0.4031271]
Layer 2121,Parameter 2,[[-0.68602014]]
Layer 2121,Parameter 3,[-0.6740458]
Layer 2122,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2122,Parameter 1,[0.4031271]
Layer 2122,Parameter 2,[[-0.68602014]]
Layer 2122,Parameter 3,[-0.6740458]
Layer 2123,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2123,Parameter 1,[0.4031271]
Layer 2123,Parameter 2,[[-0.68602014]]
Layer 2123,Parameter 3,[-0.6740458]
Layer 2124,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2124,Parameter 1,[0.4031271]
Layer 2124,Parameter 2,[[-0.68602014]]
Layer 2124,Parameter 3,[-0.6740458]
Layer 2125,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2125,Parameter 1,[0.4031271]
Layer 2125,Parameter 2,[[-0.68602014]]
