Layer,Parameter,Weight
Layer 1246,Parameter 1,[0.4031271]
Layer 1246,Parameter 2,[[-0.68602014]]
Layer 1246,Parameter 3,[-0.6740458]
Layer 1247,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1247,Parameter 1,[0.4031271]
Layer 1247,Parameter 2,[[-0.68602014]]
Layer 1247,Parameter 3,[-0.6740458]
Layer 1248,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1248,Parameter 1,[0.4031271]
Layer 1248,Parameter 2,[[-0.68602014]]
Layer 1248,Parameter 3,[-0.6740458]
Layer 1249,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1249,Parameter 1,[0.4031271]
Layer 1249,Parameter 2,[[-0.68602014]]
Layer 1249,Parameter 3,[-0.6740458]
Layer 1250,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1250,Parameter 1,[0.4031271]
Layer 1250,Parameter 2,[[-0.68602014]]
Layer 1250,Parameter 3,[-0.6740458]
Layer 1251,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1251,Parameter 1,[0.4031271]
Layer 1251,Parameter 2,[[-0.68602014]]
Layer 1251,Parameter 3,[-0.6740458]
Layer 1252,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1252,Parameter 1,[0.4031271]
Layer 1252,Parameter 2,[[-0.68602014]]
Layer 1252,Parameter 3,[-0.6740458]
Layer 1253,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1253,Parameter 1,[0.4031271]
Layer 1253,Parameter 2,[[-0.68602014]]
Layer 1253,Parameter 3,[-0.6740458]
Layer 1254,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1254,Parameter 1,[0.4031271]
Layer 1254,Parameter 2,[[-0.68602014]]
Layer 1254,Parameter 3,[-0.6740458]
Layer 1255,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1255,Parameter 1,[0.4031271]
Layer 1255,Parameter 2,[[-0.68602014]]
Layer 1255,Parameter 3,[-0.6740458]
Layer 1256,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1256,Parameter 1,[0.4031271]
Layer 1256,Parameter 2,[[-0.68602014]]
Layer 1256,Parameter 3,[-0.6740458]
Layer 1257,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1257,Parameter 1,[0.4031271]
Layer 1257,Parameter 2,[[-0.68602014]]
Layer 1257,Parameter 3,[-0.6740458]
Layer 1258,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1258,Parameter 1,[0.4031271]
Layer 1258,Parameter 2,[[-0.68602014]]
Layer 1258,Parameter 3,[-0.6740458]
Layer 1259,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1259,Parameter 1,[0.4031271]
Layer 1259,Parameter 2,[[-0.68602014]]
Layer 1259,Parameter 3,[-0.6740458]
Layer 1260,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1260,Parameter 1,[0.4031271]
Layer 1260,Parameter 2,[[-0.68602014]]
Layer 1260,Parameter 3,[-0.6740458]
Layer 1261,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1261,Parameter 1,[0.4031271]
Layer 1261,Parameter 2,[[-0.68602014]]
Layer 1261,Parameter 3,[-0.6740458]
Layer 1262,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1262,Parameter 1,[0.4031271]
Layer 1262,Parameter 2,[[-0.68602014]]
Layer 1262,Parameter 3,[-0.6740458]
Layer 1263,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1263,Parameter 1,[0.4031271]
Layer 1263,Parameter 2,[[-0.68602014]]
Layer 1263,Parameter 3,[-0.6740458]
Layer 1264,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1264,Parameter 1,[0.4031271]
Layer 1264,Parameter 2,[[-0.68602014]]
Layer 1264,Parameter 3,[-0.6740458]
Layer 1265,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1265,Parameter 1,[0.4031271]
Layer 1265,Parameter 2,[[-0.68602014]]
Layer 1265,Parameter 3,[-0.6740458]
Layer 1266,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1266,Parameter 1,[0.4031271]
Layer 1266,Parameter 2,[[-0.68602014]]
Layer 1266,Parameter 3,[-0.6740458]
Layer 1267,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1267,Parameter 1,[0.4031271]
Layer 1267,Parameter 2,[[-0.68602014]]
Layer 1267,Parameter 3,[-0.6740458]
Layer 1268,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1268,Parameter 1,[0.4031271]
Layer 1268,Parameter 2,[[-0.68602014]]
Layer 1268,Parameter 3,[-0.6740458]
Layer 1269,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1269,Parameter 1,[0.4031271]
Layer 1269,Parameter 2,[[-0.68602014]]
Layer 1269,Parameter 3,[-0.6740458]
Layer 1270,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1270,Parameter 1,[0.4031271]
Layer 1270,Parameter 2,[[-0.68602014]]
Layer 1270,Parameter 3,[-0.6740458]
Layer 1271,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1271,Parameter 1,[0.4031271]
Layer 1271,Parameter 2,[[-0.68602014]]
Layer 1271,Parameter 3,[-0.6740458]
Layer 1272,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1272,Parameter 1,[0.4031271]
Layer 1272,Parameter 2,[[-0.68602014]]
Layer 1272,Parameter 3,[-0.6740458]
Layer 1273,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1273,Parameter 1,[0.4031271]
Layer 1273,Parameter 2,[[-0.68602014]]
Layer 1273,Parameter 3,[-0.6740458]
Layer 1274,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1274,Parameter 1,[0.4031271]
Layer 1274,Parameter 2,[[-0.68602014]]
Layer 1274,Parameter 3,[-0.6740458]
Layer 1275,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1275,Parameter 1,[0.4031271]
Layer 1275,Parameter 2,[[-0.68602014]]
Layer 1275,Parameter 3,[-0.6740458]
Layer 1276,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1276,Parameter 1,[0.4031271]
Layer 1276,Parameter 2,[[-0.68602014]]
Layer 1276,Parameter 3,[-0.6740458]
Layer 1277,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1277,Parameter 1,[0.4031271]
Layer 1277,Parameter 2,[[-0.68602014]]
Layer 1277,Parameter 3,[-0.6740458]
Layer 1278,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1278,Parameter 1,[0.4031271]
Layer 1278,Parameter 2,[[-0.68602014]]
Layer 1278,Parameter 3,[-0.6740458]
Layer 1279,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1279,Parameter 1,[0.4031271]
Layer 1279,Parameter 2,[[-0.68602014]]
Layer 1279,Parameter 3,[-0.6740458]
Layer 1280,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1280,Parameter 1,[0.4031271]
Layer 1280,Parameter 2,[[-0.68602014]]
Layer 1280,Parameter 3,[-0.6740458]
Layer 1281,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1281,Parameter 1,[0.4031271]
Layer 1281,Parameter 2,[[-0.68602014]]
Layer 1281,Parameter 3,[-0.6740458]
Layer 1282,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1282,Parameter 1,[0.4031271]
Layer 1282,Parameter 2,[[-0.68602014]]
Layer 1282,Parameter 3,[-0.6740458]
Layer 1283,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1283,Parameter 1,[0.4031271]
Layer 1283,Parameter 2,[[-0.68602014]]
Layer 1283,Parameter 3,[-0.6740458]
Layer 1284,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1284,Parameter 1,[0.4031271]
Layer 1284,Parameter 2,[[-0.68602014]]
Layer 1284,Parameter 3,[-0.6740458]
Layer 1285,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1285,Parameter 1,[0.4031271]
Layer 1285,Parameter 2,[[-0.68602014]]
Layer 1285,Parameter 3,[-0.6740458]
Layer 1286,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1286,Parameter 1,[0.4031271]
Layer 1286,Parameter 2,[[-0.68602014]]
Layer 1286,Parameter 3,[-0.6740458]
Layer 1287,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1287,Parameter 1,[0.4031271]
Layer 1287,Parameter 2,[[-0.68602014]]
Layer 1287,Parameter 3,[-0.6740458]
Layer 1288,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1288,Parameter 1,[0.4031271]
Layer 1288,Parameter 2,[[-0.68602014]]
Layer 1288,Parameter 3,[-0.6740458]
Layer 1289,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1289,Parameter 1,[0.4031271]
Layer 1289,Parameter 2,[[-0.68602014]]
Layer 1289,Parameter 3,[-0.6740458]
Layer 1290,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1290,Parameter 1,[0.4031271]
Layer 1290,Parameter 2,[[-0.68602014]]
Layer 1290,Parameter 3,[-0.6740458]
Layer 1291,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1291,Parameter 1,[0.4031271]
Layer 1291,Parameter 2,[[-0.68602014]]
Layer 1291,Parameter 3,[-0.6740458]
Layer 1292,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1292,Parameter 1,[0.4031271]
Layer 1292,Parameter 2,[[-0.68602014]]
Layer 1292,Parameter 3,[-0.6740458]
Layer 1293,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1293,Parameter 1,[0.4031271]
Layer 1293,Parameter 2,[[-0.68602014]]
Layer 1293,Parameter 3,[-0.6740458]
Layer 1294,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1294,Parameter 1,[0.4031271]
Layer 1294,Parameter 2,[[-0.68602014]]
Layer 1294,Parameter 3,[-0.6740458]
Layer 1295,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1295,Parameter 1,[0.4031271]
Layer 1295,Parameter 2,[[-0.68602014]]
Layer 1295,Parameter 3,[-0.6740458]
Layer 1296,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1296,Parameter 1,[0.4031271]
Layer 1296,Parameter 2,[[-0.68602014]]
Layer 1296,Parameter 3,[-0.6740458]
Layer 1297,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1297,Parameter 1,[0.4031271]
Layer 1297,Parameter 2,[[-0.68602014]]
Layer 1297,Parameter 3,[-0.6740458]
Layer 1298,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1298,Parameter 1,[0.4031271]
Layer 1298,Parameter 2,[[-0.68602014]]
Layer 1298,Parameter 3,[-0.6740458]
Layer 1299,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1299,Parameter 1,[0.4031271]
Layer 1299,Parameter 2,[[-0.68602014]]
Layer 1299,Parameter 3,[-0.6740458]
Layer 1300,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1300,Parameter 1,[0.4031271]
Layer 1300,Parameter 2,[[-0.68602014]]
Layer 1300,Parameter 3,[-0.6740458]
Layer 1301,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1301,Parameter 1,[0.4031271]
Layer 1301,Parameter 2,[[-0.68602014]]
Layer 1301,Parameter 3,[-0.6740458]
Layer 1302,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1302,Parameter 1,[0.4031271]
Layer 1302,Parameter 2,[[-0.68602014]]
Layer 1302,Parameter 3,[-0.6740458]
Layer 1303,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1303,Parameter 1,[0.4031271]
Layer 1303,Parameter 2,[[-0.68602014]]
Layer 1303,Parameter 3,[-0.6740458]
Layer 1304,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1304,Parameter 1,[0.4031271]
Layer 1304,Parameter 2,[[-0.68602014]]
Layer 1304,Parameter 3,[-0.6740458]
Layer 1305,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1305,Parameter 1,[0.4031271]
Layer 1305,Parameter 2,[[-0.68602014]]
Layer 1305,Parameter 3,[-0.6740458]
Layer 1306,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1306,Parameter 1,[0.4031271]
Layer 1306,Parameter 2,[[-0.68602014]]
Layer 1306,Parameter 3,[-0.6740458]
Layer 1307,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1307,Parameter 1,[0.4031271]
Layer 1307,Parameter 2,[[-0.68602014]]
Layer 1307,Parameter 3,[-0.6740458]
Layer 1308,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1308,Parameter 1,[0.4031271]
Layer 1308,Parameter 2,[[-0.68602014]]
Layer 1308,Parameter 3,[-0.6740458]
Layer 1309,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1309,Parameter 1,[0.4031271]
Layer 1309,Parameter 2,[[-0.68602014]]
Layer 1309,Parameter 3,[-0.6740458]
Layer 1310,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1310,Parameter 1,[0.4031271]
Layer 1310,Parameter 2,[[-0.68602014]]
Layer 1310,Parameter 3,[-0.6740458]
Layer 1311,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1311,Parameter 1,[0.4031271]
Layer 1311,Parameter 2,[[-0.68602014]]
Layer 1311,Parameter 3,[-0.6740458]
Layer 1312,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1312,Parameter 1,[0.4031271]
Layer 1312,Parameter 2,[[-0.68602014]]
Layer 1312,Parameter 3,[-0.6740458]
Layer 1313,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1313,Parameter 1,[0.4031271]
Layer 1313,Parameter 2,[[-0.68602014]]
Layer 1313,Parameter 3,[-0.6740458]
Layer 1314,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1314,Parameter 1,[0.4031271]
Layer 1314,Parameter 2,[[-0.68602014]]
Layer 1314,Parameter 3,[-0.6740458]
Layer 1315,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1315,Parameter 1,[0.4031271]
Layer 1315,Parameter 2,[[-0.68602014]]
Layer 1315,Parameter 3,[-0.6740458]
Layer 1316,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1316,Parameter 1,[0.4031271]
Layer 1316,Parameter 2,[[-0.68602014]]
Layer 1316,Parameter 3,[-0.6740458]
Layer 1317,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1317,Parameter 1,[0.4031271]
Layer 1317,Parameter 2,[[-0.68602014]]
Layer 1317,Parameter 3,[-0.6740458]
Layer 1318,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1318,Parameter 1,[0.4031271]
Layer 1318,Parameter 2,[[-0.68602014]]
Layer 1318,Parameter 3,[-0.6740458]
Layer 1319,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1319,Parameter 1,[0.4031271]
Layer 1319,Parameter 2,[[-0.68602014]]
Layer 1319,Parameter 3,[-0.6740458]
Layer 1320,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1320,Parameter 1,[0.4031271]
Layer 1320,Parameter 2,[[-0.68602014]]
Layer 1320,Parameter 3,[-0.6740458]
Layer 1321,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1321,Parameter 1,[0.4031271]
Layer 1321,Parameter 2,[[-0.68602014]]
Layer 1321,Parameter 3,[-0.6740458]
Layer 1322,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1322,Parameter 1,[0.4031271]
Layer 1322,Parameter 2,[[-0.68602014]]
Layer 1322,Parameter 3,[-0.6740458]
Layer 1323,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1323,Parameter 1,[0.4031271]
Layer 1323,Parameter 2,[[-0.68602014]]
Layer 1323,Parameter 3,[-0.6740458]
Layer 1324,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1324,Parameter 1,[0.4031271]
Layer 1324,Parameter 2,[[-0.68602014]]
Layer 1324,Parameter 3,[-0.6740458]
Layer 1325,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1325,Parameter 1,[0.4031271]
Layer 1325,Parameter 2,[[-0.68602014]]
Layer 1325,Parameter 3,[-0.6740458]
Layer 1326,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1326,Parameter 1,[0.4031271]
Layer 1326,Parameter 2,[[-0.68602014]]
Layer 1326,Parameter 3,[-0.6740458]
Layer 1327,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1327,Parameter 1,[0.4031271]
Layer 1327,Parameter 2,[[-0.68602014]]
Layer 1327,Parameter 3,[-0.6740458]
Layer 1328,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1328,Parameter 1,[0.4031271]
Layer 1328,Parameter 2,[[-0.68602014]]
Layer 1328,Parameter 3,[-0.6740458]
Layer 1329,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1329,Parameter 1,[0.4031271]
Layer 1329,Parameter 2,[[-0.68602014]]
Layer 1329,Parameter 3,[-0.6740458]
Layer 1330,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1330,Parameter 1,[0.4031271]
Layer 1330,Parameter 2,[[-0.68602014]]
Layer 1330,Parameter 3,[-0.6740458]
Layer 1331,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1331,Parameter 1,[0.4031271]
Layer 1331,Parameter 2,[[-0.68602014]]
Layer 1331,Parameter 3,[-0.6740458]
Layer 1332,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1332,Parameter 1,[0.4031271]
Layer 1332,Parameter 2,[[-0.68602014]]
Layer 1332,Parameter 3,[-0.6740458]
Layer 1333,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1333,Parameter 1,[0.4031271]
Layer 1333,Parameter 2,[[-0.68602014]]
Layer 1333,Parameter 3,[-0.6740458]
Layer 1334,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1334,Parameter 1,[0.4031271]
Layer 1334,Parameter 2,[[-0.68602014]]
Layer 1334,Parameter 3,[-0.6740458]
Layer 1335,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1335,Parameter 1,[0.4031271]
Layer 1335,Parameter 2,[[-0.68602014]]
Layer 1335,Parameter 3,[-0.6740458]
Layer 1336,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1336,Parameter 1,[0.4031271]
Layer 1336,Parameter 2,[[-0.68602014]]
Layer 1336,Parameter 3,[-0.6740458]
Layer 1337,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1337,Parameter 1,[0.4031271]
Layer 1337,Parameter 2,[[-0.68602014]]
Layer 1337,Parameter 3,[-0.6740458]
Layer 1338,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1338,Parameter 1,[0.4031271]
Layer 1338,Parameter 2,[[-0.68602014]]
Layer 1338,Parameter 3,[-0.6740458]
Layer 1339,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1339,Parameter 1,[0.4031271]
Layer 1339,Parameter 2,[[-0.68602014]]
Layer 1339,Parameter 3,[-0.6740458]
Layer 1340,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1340,Parameter 1,[0.4031271]
Layer 1340,Parameter 2,[[-0.68602014]]
Layer 1340,Parameter 3,[-0.6740458]
Layer 1341,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1341,Parameter 1,[0.4031271]
Layer 1341,Parameter 2,[[-0.68602014]]
Layer 1341,Parameter 3,[-0.6740458]
Layer 1342,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1342,Parameter 1,[0.4031271]
Layer 1342,Parameter 2,[[-0.68602014]]
Layer 1342,Parameter 3,[-0.6740458]
Layer 1343,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1343,Parameter 1,[0.4031271]
Layer 1343,Parameter 2,[[-0.68602014]]
Layer 1343,Parameter 3,[-0.6740458]
Layer 1344,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1344,Parameter 1,[0.4031271]
Layer 1344,Parameter 2,[[-0.68602014]]
Layer 1344,Parameter 3,[-0.6740458]
Layer 1345,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1345,Parameter 1,[0.4031271]
Layer 1345,Parameter 2,[[-0.68602014]]
Layer 1345,Parameter 3,[-0.6740458]
Layer 1346,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1346,Parameter 1,[0.4031271]
Layer 1346,Parameter 2,[[-0.68602014]]
Layer 1346,Parameter 3,[-0.6740458]
Layer 1347,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1347,Parameter 1,[0.4031271]
Layer 1347,Parameter 2,[[-0.68602014]]
Layer 1347,Parameter 3,[-0.6740458]
Layer 1348,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1348,Parameter 1,[0.4031271]
Layer 1348,Parameter 2,[[-0.68602014]]
Layer 1348,Parameter 3,[-0.6740458]
Layer 1349,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1349,Parameter 1,[0.4031271]
Layer 1349,Parameter 2,[[-0.68602014]]
Layer 1349,Parameter 3,[-0.6740458]
Layer 1350,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1350,Parameter 1,[0.4031271]
Layer 1350,Parameter 2,[[-0.68602014]]
Layer 1350,Parameter 3,[-0.6740458]
Layer 1351,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1351,Parameter 1,[0.4031271]
Layer 1351,Parameter 2,[[-0.68602014]]
Layer 1351,Parameter 3,[-0.6740458]
Layer 1352,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1352,Parameter 1,[0.4031271]
Layer 1352,Parameter 2,[[-0.68602014]]
Layer 1352,Parameter 3,[-0.6740458]
Layer 1353,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1353,Parameter 1,[0.4031271]
Layer 1353,Parameter 2,[[-0.68602014]]
Layer 1353,Parameter 3,[-0.6740458]
Layer 1354,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1354,Parameter 1,[0.4031271]
Layer 1354,Parameter 2,[[-0.68602014]]
Layer 1354,Parameter 3,[-0.6740458]
Layer 1355,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1355,Parameter 1,[0.4031271]
Layer 1355,Parameter 2,[[-0.68602014]]
Layer 1355,Parameter 3,[-0.6740458]
Layer 1356,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1356,Parameter 1,[0.4031271]
Layer 1356,Parameter 2,[[-0.68602014]]
Layer 1356,Parameter 3,[-0.6740458]
Layer 1357,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1357,Parameter 1,[0.4031271]
Layer 1357,Parameter 2,[[-0.68602014]]
Layer 1357,Parameter 3,[-0.6740458]
Layer 1358,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1358,Parameter 1,[0.4031271]
Layer 1358,Parameter 2,[[-0.68602014]]
Layer 1358,Parameter 3,[-0.6740458]
Layer 1359,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1359,Parameter 1,[0.4031271]
Layer 1359,Parameter 2,[[-0.68602014]]
Layer 1359,Parameter 3,[-0.6740458]
Layer 1360,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1360,Parameter 1,[0.4031271]
Layer 1360,Parameter 2,[[-0.68602014]]
Layer 1360,Parameter 3,[-0.6740458]
Layer 1361,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1361,Parameter 1,[0.4031271]
Layer 1361,Parameter 2,[[-0.68602014]]
Layer 1361,Parameter 3,[-0.6740458]
Layer 1362,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1362,Parameter 1,[0.4031271]
Layer 1362,Parameter 2,[[-0.68602014]]
Layer 1362,Parameter 3,[-0.6740458]
Layer 1363,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1363,Parameter 1,[0.4031271]
Layer 1363,Parameter 2,[[-0.68602014]]
Layer 1363,Parameter 3,[-0.6740458]
Layer 1364,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1364,Parameter 1,[0.4031271]
Layer 1364,Parameter 2,[[-0.68602014]]
Layer 1364,Parameter 3,[-0.6740458]
Layer 1365,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1365,Parameter 1,[0.4031271]
Layer 1365,Parameter 2,[[-0.68602014]]
Layer 1365,Parameter 3,[-0.6740458]
Layer 1366,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1366,Parameter 1,[0.4031271]
Layer 1366,Parameter 2,[[-0.68602014]]
Layer 1366,Parameter 3,[-0.6740458]
Layer 1367,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1367,Parameter 1,[0.4031271]
Layer 1367,Parameter 2,[[-0.68602014]]
Layer 1367,Parameter 3,[-0.6740458]
Layer 1368,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1368,Parameter 1,[0.4031271]
Layer 1368,Parameter 2,[[-0.68602014]]
Layer 1368,Parameter 3,[-0.6740458]
Layer 1369,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1369,Parameter 1,[0.4031271]
Layer 1369,Parameter 2,[[-0.68602014]]
Layer 1369,Parameter 3,[-0.6740458]
Layer 1370,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1370,Parameter 1,[0.4031271]
Layer 1370,Parameter 2,[[-0.68602014]]
Layer 1370,Parameter 3,[-0.6740458]
Layer 1371,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1371,Parameter 1,[0.4031271]
Layer 1371,Parameter 2,[[-0.68602014]]
Layer 1371,Parameter 3,[-0.6740458]
Layer 1372,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1372,Parameter 1,[0.4031271]
Layer 1372,Parameter 2,[[-0.68602014]]
Layer 1372,Parameter 3,[-0.6740458]
Layer 1373,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1373,Parameter 1,[0.4031271]
Layer 1373,Parameter 2,[[-0.68602014]]
Layer 1373,Parameter 3,[-0.6740458]
Layer 1374,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1374,Parameter 1,[0.4031271]
Layer 1374,Parameter 2,[[-0.68602014]]
Layer 1374,Parameter 3,[-0.6740458]
Layer 1375,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1375,Parameter 1,[0.4031271]
Layer 1375,Parameter 2,[[-0.68602014]]
Layer 1375,Parameter 3,[-0.6740458]
Layer 1376,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1376,Parameter 1,[0.4031271]
Layer 1376,Parameter 2,[[-0.68602014]]
Layer 1376,Parameter 3,[-0.6740458]
Layer 1377,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1377,Parameter 1,[0.4031271]
Layer 1377,Parameter 2,[[-0.68602014]]
Layer 1377,Parameter 3,[-0.6740458]
Layer 1378,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1378,Parameter 1,[0.4031271]
Layer 1378,Parameter 2,[[-0.68602014]]
Layer 1378,Parameter 3,[-0.6740458]
Layer 1379,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1379,Parameter 1,[0.4031271]
Layer 1379,Parameter 2,[[-0.68602014]]
Layer 1379,Parameter 3,[-0.6740458]
Layer 1380,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1380,Parameter 1,[0.4031271]
Layer 1380,Parameter 2,[[-0.68602014]]
Layer 1380,Parameter 3,[-0.6740458]
Layer 1381,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1381,Parameter 1,[0.4031271]
Layer 1381,Parameter 2,[[-0.68602014]]
Layer 1381,Parameter 3,[-0.6740458]
